date,unit_name,unit_id,type,title,category,budget,award_amount,awarded_at,companies,job_number,url,notice_date,award_way,county,county_code,town_code,contact_person,contact_phone,losing_supplier,filename
20260423,國立成功大學醫學院附設醫院,,招標公告,機械手臂手術系統5年期租賃案,財物類,,,20260423,,H115021C,https://www.google.com/search?q=H115021C+%E6%A9%9F%E6%A2%B0%E6%89%8B%E8%87%82%E6%89%8B%E8%A1%93%E7%B3%BB%E7%B5%B15%E5%B9%B4%E6%9C%9F%E7%A7%9F%E8%B3%83%E6%A1%88,,,,,,,,,tender_20260302.xml
20260422,內政部國土管理署,,招標公告,「115年度全國營建剩餘土石方即時追蹤流向管控系統營運管理及維護案」,勞務類,,,20260422,,114A-111,https://www.google.com/search?q=114A-111+%E3%80%8C115%E5%B9%B4%E5%BA%A6%E5%85%A8%E5%9C%8B%E7%87%9F%E5%BB%BA%E5%89%A9%E9%A4%98%E5%9C%9F%E7%9F%B3%E6%96%B9%E5%8D%B3%E6%99%82%E8%BF%BD%E8%B9%A4%E6%B5%81%E5%90%91%E7%AE%A1%E6%8E%A7%E7%B3%BB%E7%B5%B1%E7%87%9F%E9%81%8B%E7%AE%A1%E7%90%86%E5%8F%8A%E7%B6%AD%E8%AD%B7%E6%A1%88%E3%80%8D,,,,,,,,,tender_20260302.xml
20260422,臺北市政府工務局,,招標公告,115年汰換全自動核酸定序儀系統採購案,財物類,,,20260422,,1150311P0016,https://www.google.com/search?q=1150311P0016+115%E5%B9%B4%E6%B1%B0%E6%8F%9B%E5%85%A8%E8%87%AA%E5%8B%95%E6%A0%B8%E9%85%B8%E5%AE%9A%E5%BA%8F%E5%84%80%E7%B3%BB%E7%B5%B1%E6%8E%A1%E8%B3%BC%E6%A1%88,,,,,,,,,tender_20260302.xml
20260421,運動部全民運動署,,招標公告,115年度全民運動資訊系統維運及擴充案,勞務類,,,20260421,,115-02-002,https://www.google.com/search?q=115-02-002+115%E5%B9%B4%E5%BA%A6%E5%85%A8%E6%B0%91%E9%81%8B%E5%8B%95%E8%B3%87%E8%A8%8A%E7%B3%BB%E7%B5%B1%E7%B6%AD%E9%81%8B%E5%8F%8A%E6%93%B4%E5%85%85%E6%A1%88,,,,,,,,,tender_20260302.xml
20260421,農業部農田水利署,,招標公告,宜蘭縣大礁溪及朝陽社區周遭農地灌溉系統整體規劃,勞務類,,,20260421,,IL115K301,https://www.google.com/search?q=IL115K301+%E5%AE%9C%E8%98%AD%E7%B8%A3%E5%A4%A7%E7%A4%81%E6%BA%AA%E5%8F%8A%E6%9C%9D%E9%99%BD%E7%A4%BE%E5%8D%80%E5%91%A8%E9%81%AD%E8%BE%B2%E5%9C%B0%E7%81%8C%E6%BA%89%E7%B3%BB%E7%B5%B1%E6%95%B4%E9%AB%94%E8%A6%8F%E5%8A%83,,,,,,,,,tender_20260302.xml
20260421,內政部警政署,,招標公告,115年警政資安威脅聯防建置案,勞務類,,,20260421,,115ET01,https://www.google.com/search?q=115ET01+115%E5%B9%B4%E8%AD%A6%E6%94%BF%E8%B3%87%E5%AE%89%E5%A8%81%E8%84%85%E8%81%AF%E9%98%B2%E5%BB%BA%E7%BD%AE%E6%A1%88,,,,,,,,,tender_20260302.xml
20260420,臺北榮民總醫院,,招標公告,單孔手術系統組(單醫師主控台)租賃,財物類,,,20260420,,M11471V,https://www.google.com/search?q=M11471V+%E5%96%AE%E5%AD%94%E6%89%8B%E8%A1%93%E7%B3%BB%E7%B5%B1%E7%B5%84%28%E5%96%AE%E9%86%AB%E5%B8%AB%E4%B8%BB%E6%8E%A7%E5%8F%B0%29%E7%A7%9F%E8%B3%83,,,,,,,,,tender_20260302.xml
20260420,台灣電力股份有限公司綜合研究所,,招標公告,基於IEC 61850之多儲能資通訊整合模控系統1套,財物類,,,20260420,,5461500024,https://www.google.com/search?q=5461500024+%E5%9F%BA%E6%96%BCIEC+61850%E4%B9%8B%E5%A4%9A%E5%84%B2%E8%83%BD%E8%B3%87%E9%80%9A%E8%A8%8A%E6%95%B4%E5%90%88%E6%A8%A1%E6%8E%A7%E7%B3%BB%E7%B5%B11%E5%A5%97,,,,,,,,,tender_20260302.xml
20260420,桃園國際機場股份有限公司,,招標公告,115年度桃園機場旅客自動電車輸送系統通訊零組件更新採購,財物類,,,20260420,,113-3-00042,https://www.google.com/search?q=113-3-00042+115%E5%B9%B4%E5%BA%A6%E6%A1%83%E5%9C%92%E6%A9%9F%E5%A0%B4%E6%97%85%E5%AE%A2%E8%87%AA%E5%8B%95%E9%9B%BB%E8%BB%8A%E8%BC%B8%E9%80%81%E7%B3%BB%E7%B5%B1%E9%80%9A%E8%A8%8A%E9%9B%B6%E7%B5%84%E4%BB%B6%E6%9B%B4%E6%96%B0%E6%8E%A1%E8%B3%BC,,,,,,,,,tender_20260302.xml
20260420,文化部,,招標公告,115年度公務助理暨資料整合應用平台建置案,勞務類,,,20260420,,1150318A,https://www.google.com/search?q=1150318A+115%E5%B9%B4%E5%BA%A6%E5%85%AC%E5%8B%99%E5%8A%A9%E7%90%86%E6%9A%A8%E8%B3%87%E6%96%99%E6%95%B4%E5%90%88%E6%87%89%E7%94%A8%E5%B9%B3%E5%8F%B0%E5%BB%BA%E7%BD%AE%E6%A1%88,,,,,,,,,tender_20260302.xml
20260420,中華郵政股份有限公司,,招標公告,115年汰換整合郵務窗口系統設備,財物類,,,20260420,,115-A013,https://www.google.com/search?q=115-A013+115%E5%B9%B4%E6%B1%B0%E6%8F%9B%E6%95%B4%E5%90%88%E9%83%B5%E5%8B%99%E7%AA%97%E5%8F%A3%E7%B3%BB%E7%B5%B1%E8%A8%AD%E5%82%99,,,,,,,,,tender_20260302.xml
20260420,台灣中油股份有限公司,,招標公告,循環氣體運轉及監控系統(採購帶安裝),財物類,,,20260420,,E1514A028,https://www.google.com/search?q=E1514A028+%E5%BE%AA%E7%92%B0%E6%B0%A3%E9%AB%94%E9%81%8B%E8%BD%89%E5%8F%8A%E7%9B%A3%E6%8E%A7%E7%B3%BB%E7%B5%B1%28%E6%8E%A1%E8%B3%BC%E5%B8%B6%E5%AE%89%E8%A3%9D%29,,,,,,,,,tender_20260302.xml
20260417,財團法人工業技術研究院,,招標公告,氣體不純物分析系統,財物類,,,20260417,,A072000180,https://www.google.com/search?q=A072000180+%E6%B0%A3%E9%AB%94%E4%B8%8D%E7%B4%94%E7%89%A9%E5%88%86%E6%9E%90%E7%B3%BB%E7%B5%B1,,,,,,,,,tender_20260302.xml
20260415,內政部警政署航空警察局,,招標公告,115年度手機鑑識軟體採購案,財物類,,,20260415,,HCY-115002C,https://www.google.com/search?q=HCY-115002C+115%E5%B9%B4%E5%BA%A6%E6%89%8B%E6%A9%9F%E9%91%91%E8%AD%98%E8%BB%9F%E9%AB%94%E6%8E%A1%E8%B3%BC%E6%A1%88,,,,,,,,,tender_20260302.xml
20260415,桃園國際機場股份有限公司,,招標公告,115年至118年電子巡檢系統維護案,勞務類,,,20260415,,115-2-00030,https://www.google.com/search?q=115-2-00030+115%E5%B9%B4%E8%87%B3118%E5%B9%B4%E9%9B%BB%E5%AD%90%E5%B7%A1%E6%AA%A2%E7%B3%BB%E7%B5%B1%E7%B6%AD%E8%AD%B7%E6%A1%88,,,,,,,,,tender_20260302.xml
20260415,國立臺灣大學醫學院附設醫院雲林分院,,招標公告,人工智能放射治療計畫軟體RT Cranial SRS&Spine SRS模組1套,財物類,,,20260415,,PA2500586,https://www.google.com/search?q=PA2500586+%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E6%94%BE%E5%B0%84%E6%B2%BB%E7%99%82%E8%A8%88%E7%95%AB%E8%BB%9F%E9%AB%94RT+Cranial+SRS%26Spine+SRS%E6%A8%A1%E7%B5%841%E5%A5%97,,,,,,,,,tender_20260302.xml
20260415,臺中榮民總醫院嘉義分院,,招標公告,115年度數位雙向平板心血管攝影x光機採購案,財物類,,,20260415,,M115067,https://www.google.com/search?q=M115067+115%E5%B9%B4%E5%BA%A6%E6%95%B8%E4%BD%8D%E9%9B%99%E5%90%91%E5%B9%B3%E6%9D%BF%E5%BF%83%E8%A1%80%E7%AE%A1%E6%94%9D%E5%BD%B1x%E5%85%89%E6%A9%9F%E6%8E%A1%E8%B3%BC%E6%A1%88,,,,,,,,,tender_20260301.xml
20260414,台灣電力股份有限公司第二核能發電廠,,招標公告,115-116年度發電機氫氣系統及附屬設備維護工作,勞務類,,,20260414,,3511500051,https://www.google.com/search?q=3511500051+115-116%E5%B9%B4%E5%BA%A6%E7%99%BC%E9%9B%BB%E6%A9%9F%E6%B0%AB%E6%B0%A3%E7%B3%BB%E7%B5%B1%E5%8F%8A%E9%99%84%E5%B1%AC%E8%A8%AD%E5%82%99%E7%B6%AD%E8%AD%B7%E5%B7%A5%E4%BD%9C,,,,,,,,,tender_20260302.xml
20260414,臺北榮民總醫院,,招標公告,高階含螢光系統神外手術用顯微鏡,財物類,,,20260414,,115C182N,https://www.google.com/search?q=115C182N+%E9%AB%98%E9%9A%8E%E5%90%AB%E8%9E%A2%E5%85%89%E7%B3%BB%E7%B5%B1%E7%A5%9E%E5%A4%96%E6%89%8B%E8%A1%93%E7%94%A8%E9%A1%AF%E5%BE%AE%E9%8F%A1,,,,,,,,,tender_20260302.xml
20260413,數位發展部數位產業署,,招標公告,AI賦能產業技術創新計畫,勞務類,,,20260413,,ADI-115121304,https://www.google.com/search?q=ADI-115121304+AI%E8%B3%A6%E8%83%BD%E7%94%A2%E6%A5%AD%E6%8A%80%E8%A1%93%E5%89%B5%E6%96%B0%E8%A8%88%E7%95%AB,,,,,,,,,tender_20260302.xml
20260413,數位發展部數位產業署,,招標公告,開發產業AI便利工具及補助計畫,勞務類,,,20260413,,ADI-115121302,https://www.google.com/search?q=ADI-115121302+%E9%96%8B%E7%99%BC%E7%94%A2%E6%A5%ADAI%E4%BE%BF%E5%88%A9%E5%B7%A5%E5%85%B7%E5%8F%8A%E8%A3%9C%E5%8A%A9%E8%A8%88%E7%95%AB,,,,,,,,,tender_20260302.xml
20260413,臺北榮民總醫院,,招標公告,行動護理車之電腦設備汰換,財物類,,,20260413,,115TC014Q,https://www.google.com/search?q=115TC014Q+%E8%A1%8C%E5%8B%95%E8%AD%B7%E7%90%86%E8%BB%8A%E4%B9%8B%E9%9B%BB%E8%85%A6%E8%A8%AD%E5%82%99%E6%B1%B0%E6%8F%9B,,,,,,,,,tender_20260301.xml
20260413,臺北榮民總醫院,,招標公告,遠端橈骨掌側交叉互鎖式骨板系統組3年單價開口契約,財物類,,,20260413,,1150097Y,https://www.google.com/search?q=1150097Y+%E9%81%A0%E7%AB%AF%E6%A9%88%E9%AA%A8%E6%8E%8C%E5%81%B4%E4%BA%A4%E5%8F%89%E4%BA%92%E9%8E%96%E5%BC%8F%E9%AA%A8%E6%9D%BF%E7%B3%BB%E7%B5%B1%E7%B5%843%E5%B9%B4%E5%96%AE%E5%83%B9%E9%96%8B%E5%8F%A3%E5%A5%91%E7%B4%84,,,,,,,,,tender_20260301.xml
20260409,臺北市政府工務局水利工程處,,招標公告,115年度水情設備CCTV等監測設備委託服務成效式契約及水情設備導入AI人工智慧應用服務案,勞務類,,,20260409,,115077,https://www.google.com/search?q=115077+115%E5%B9%B4%E5%BA%A6%E6%B0%B4%E6%83%85%E8%A8%AD%E5%82%99CCTV%E7%AD%89%E7%9B%A3%E6%B8%AC%E8%A8%AD%E5%82%99%E5%A7%94%E8%A8%97%E6%9C%8D%E5%8B%99%E6%88%90%E6%95%88%E5%BC%8F%E5%A5%91%E7%B4%84%E5%8F%8A%E6%B0%B4%E6%83%85%E8%A8%AD%E5%82%99%E5%B0%8E%E5%85%A5AI%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E6%87%89%E7%94%A8%E6%9C%8D%E5%8B%99%E6%A1%88,,,,,,,,,tender_20260302.xml
20260409,國營臺灣鐵路股份有限公司,,招標公告,EMU500型ATP系統設備更新案之獨立查證與確證(IV&V)委託專業服務,勞務類,,,20260409,,L0215P2024P,https://www.google.com/search?q=L0215P2024P+EMU500%E5%9E%8BATP%E7%B3%BB%E7%B5%B1%E8%A8%AD%E5%82%99%E6%9B%B4%E6%96%B0%E6%A1%88%E4%B9%8B%E7%8D%A8%E7%AB%8B%E6%9F%A5%E8%AD%89%E8%88%87%E7%A2%BA%E8%AD%89%28IV%26V%29%E5%A7%94%E8%A8%97%E5%B0%88%E6%A5%AD%E6%9C%8D%E5%8B%99,,,,,,,,,tender_20260301.xml
20260409,國營臺灣鐵路股份有限公司,,招標公告,AI客服系統建置案,勞務類,,,20260409,,L0215P2010U,https://www.google.com/search?q=L0215P2010U+AI%E5%AE%A2%E6%9C%8D%E7%B3%BB%E7%B5%B1%E5%BB%BA%E7%BD%AE%E6%A1%88,,,,,,,,,tender_20260301.xml
20260409,中央印製廠,,招標公告,監控系統(青潭廠區)更新建置1式,財物類,,,20260409,,1150101J01,https://www.google.com/search?q=1150101J01+%E7%9B%A3%E6%8E%A7%E7%B3%BB%E7%B5%B1%28%E9%9D%92%E6%BD%AD%E5%BB%A0%E5%8D%80%29%E6%9B%B4%E6%96%B0%E5%BB%BA%E7%BD%AE1%E5%BC%8F,,,,,,,,,tender_20260301.xml
20260409,財團法人國家同步輻射研究中心,,招標公告,高效能運算系統,財物類,,,20260409,,SRPO-1150041,https://www.google.com/search?q=SRPO-1150041+%E9%AB%98%E6%95%88%E8%83%BD%E9%81%8B%E7%AE%97%E7%B3%BB%E7%B5%B1,,,,,,,,,tender_20260301.xml
